Multiservices
100 users 50% HPA

PS C:\Windows\system32> kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
NAME                 REFERENCE                          TARGETS              MINPODS   MAXPODS   REPLICAS   AGE
cart-hpa             Deployment/cartservice             cpu: 14%/70%         1         10        1          133m
checkout-hpa         Deployment/checkoutservice         cpu: 14%/70%         1         10        1          133m
frontend-hpa         Deployment/frontend                cpu: 14%/70%         1         10        1          133m
recommendation-hpa   Deployment/recommendationservice   cpu: 14%/70%         1         10        1          133m
cart-hpa             Deployment/cartservice             cpu: 17%/70%         1         10        1          133m
recommendation-hpa   Deployment/recommendationservice   cpu: 59%/70%         1         10        1          133m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/70%          1         10        1          133m
frontend-hpa         Deployment/frontend                cpu: 85%/70%         1         10        1          133m
frontend-hpa         Deployment/frontend                cpu: 85%/70%         1         10        2          133m
cart-hpa             Deployment/cartservice             cpu: 25%/70%         1         10        1          134m
recommendation-hpa   Deployment/recommendationservice   cpu: 159%/70%        1         10        1          134m
frontend-hpa         Deployment/frontend                cpu: 198%/70%        1         10        2          134m
recommendation-hpa   Deployment/recommendationservice   cpu: 159%/70%        1         10        3          134m
frontend-hpa         Deployment/frontend                cpu: 198%/70%        1         10        3          134m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/70%          1         10        1          135m
cart-hpa             Deployment/cartservice             cpu: 23%/70%         1         10        1          135m
recommendation-hpa   Deployment/recommendationservice   cpu: 151%/70%        1         10        3          135m
frontend-hpa         Deployment/frontend                cpu: 98%/70%         1         10        3          135m
recommendation-hpa   Deployment/recommendationservice   cpu: 55%/70%         1         10        3          136m
cart-hpa             Deployment/cartservice             cpu: 26%/70%         1         10        1          136m
frontend-hpa         Deployment/frontend                cpu: 67%/70%         1         10        3          136m
recommendation-hpa   Deployment/recommendationservice   cpu: 57%/70%         1         10        3          137m
cart-hpa             Deployment/cartservice             cpu: 31%/70%         1         10        1          137m
